,movieId,title,rating,userId
0,1586,G.I. Jane (1997),,127137
1,1840,He Got Game (1998),,127137
2,6421,"Rare Breed, The (1966)",,127137
3,7251,Where the Day Takes You (1992),,127137
4,8772,"Spy Who Came in from the Cold, The (1965)",,127137
5,26399,Five Deadly Venoms (1978),,127137
6,26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),,127137
7,34464,Christmas in August (Palwolui Christmas) (1998),,127137
8,52199,Damnation (Karhozat) (1987),,127137
9,86312,"Mouse on the Moon, The (1963)",,127137
0,158,Casper (1995),,142748
1,1248,Touch of Evil (1958),,142748
2,2008,"This World, Then the Fireworks (1997)",,142748
3,2890,Three Kings (1999),,142748
4,5021,Murder by Death (1976),,142748
5,8622,Fahrenheit 9/11 (2004),,142748
6,33646,"Longest Yard, The (2005)",,142748
7,55282,30 Days of Night (2007),,142748
8,124352,I Was Monty's Double (1958),,142748
9,137078,Stranger in My House (1999),,142748
0,122,Boomerang (1992),,196198
1,2171,Next Stop Wonderland (1998),,196198
2,2714,"Wood, The (1999)",,196198
3,3584,Breathless (1983),,196198
4,4934,"Exterminator, The (1980)",,196198
5,6832,Regarding Henry (1991),,196198
6,8772,"Spy Who Came in from the Cold, The (1965)",,196198
7,140799,Truck Turner (1974),,196198
0,5021,Murder by Death (1976),,142586
1,5433,Silver Bullet (Stephen King's Silver Bullet) (1985),,142586
2,6457,Sink the Bismark! (1960),,142586
3,26776,Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),,142586
4,96775,"Perfect Murder, The (1988)",,142586
5,107914,Fade To Black (1980),,142586
6,124539,Gunshy (1998),,142586
7,124546,Cops and Robbers (1951),,142586
8,127608,The UFO Incident (1975),,142586
9,136964,Murder in New Hampshire: The Pamela Wojas Smart Story (1999),,142586
0,10,GoldenEye (1995),,139240
1,50,"Usual Suspects, The (1995)",4.0,139240
2,1193,One Flew Over the Cuckoo's Nest (1975),,139240
3,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),,139240
4,1213,Goodfellas (1990),,139240
5,1228,Raging Bull (1980),,139240
6,1997,"Exorcist, The (1973)",,139240
7,2329,American History X (1998),4.5,139240
8,2712,Eyes Wide Shut (1999),,139240
0,894,Liebelei (1933),,199431
1,1376,Star Trek IV: The Voyage Home (1986),,199431
2,2008,"This World, Then the Fireworks (1997)",,199431
3,3328,Ghost Dog: The Way of the Samurai (1999),,199431
4,4356,Gentlemen Prefer Blondes (1953),,199431
5,4934,"Exterminator, The (1980)",,199431
6,8772,"Spy Who Came in from the Cold, The (1965)",,199431
7,25948,Yellow Sky (1948),,199431
8,157424,Because They're Young (1960),,199431
0,1,Toy Story (1995),,142749
1,139471,The Slaughterhouse Massacre (2005),,142749
2,139477,Dark Fields (2006),,142749
3,139485,Dead End Road (2004),,142749
4,139487,Mummy Maniac (2007),,142749
5,139489,Jinnah (1998),,142749
6,139493,L'arte della felicità (2013),,142749
7,139495,Going By The Book (2007),,142749
8,139497,Art Of The Devil (2004),,142749
9,139499,Camp Belvidere (2014),,142749
0,122,Boomerang (1992),,109507
1,1037,"Lawnmower Man, The (1992)",,109507
2,2171,Next Stop Wonderland (1998),,109507
3,3584,Breathless (1983),,109507
4,5114,"Bad and the Beautiful, The (1952)",,109507
5,8875,"Come Back, Little Sheba (1952)",,109507
6,140799,Truck Turner (1974),,109507
7,157424,Because They're Young (1960),,109507
0,27444,Vacuuming Completely Nude in Paradise (2001),,146213
1,34148,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",,146213
2,50821,Billy the Kid vs. Dracula (1966),,146213
3,50942,"Wake Up, Ron Burgundy (2004)",,146213
4,59935,Flesh Gordon (1974),,146213
5,106924,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),,146213
6,163194,Davy Crockett and the River Pirates (1956),,146213
0,4902,"Devil's Backbone, The (Espinazo del diablo, El) (2001)",,144919
1,5878,Talk to Her (Hable con Ella) (2002),,144919
2,7449,Godsend (2004),,144919
3,39234,North Country (2005),,144919
4,57845,Joe Strummer: The Future Is Unwritten (2007),,144919
5,93502,"Ledge, The (2011)",,144919
6,94556,Citizen Gangster (2011) ,,144919
7,101756,Killing Bono (2011),,144919
8,109452,Omar (2013),,144919
9,141674,Summertime (2015),,144919
0,122,Boomerang (1992),,114328
1,916,Roman Holiday (1953),,114328
2,2167,Blade (1998),,114328
3,2171,Next Stop Wonderland (1998),,114328
4,2701,Wild Wild West (1999),,114328
5,3584,Breathless (1983),,114328
6,6350,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),,114328
7,34405,Serenity (2005),,114328
8,84601,Unknown (2011),,114328
9,111113,Neighbors (2014),,114328
0,50942,"Wake Up, Ron Burgundy (2004)",,143184
1,60887,Blindsight (2006),,143184
2,78247,"Drawn Together Movie: The Movie!, The (2010)",,143184
3,84525,Virus X (2010),,143184
4,130574,Something Wicked (2014),,143184
5,149548,Act Like You Love Me (2013),,143184
6,162754,Artie Lange: The Stench of Failure (2014),,143184
0,27701,"Old, New, Borrowed and Blue",,206003
1,33098,Ike: Countdown to D-Day (2004),,206003
2,44155,Five Children and It (2004),,206003
3,54185,Manufactured Landscapes (2006),,206003
4,73015,It's Complicated (2009),,206003
5,100253,Karlsson Brothers (Bröderna Karlsson) (2010),,206003
6,106144,"Selfish Giant, The (2013)",,206003
7,114891,Legendary (2010),,206003
8,117885,Grumpy Cat's Worst Christmas Ever (2014),,206003
9,159111,The Curse of Sleeping Beauty (2016),,206003
0,428,"Bronx Tale, A (1993)",,206313
1,1586,G.I. Jane (1997),,206313
2,1609,187 (One Eight Seven) (1997),,206313
3,1674,Witness (1985),,206313
4,4232,Spy Kids (2001),,206313
5,4574,Blind Fury (1989),,206313
6,4953,"People That Time Forgot, The (1977)",,206313
7,73015,It's Complicated (2009),,206313
8,73148,Bridge of Dragons (1999),,206313
9,101674,Horror of the Zombies (1974),,206313
0,2,Jumanji (1995),,101526
1,899,Singin' in the Rain (1952),,101526
2,908,North by Northwest (1959),,101526
3,3948,Meet the Parents (2000),,101526
