,movieId,rating,title,userId
0,8370,,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",127137
1,165287,,The Swap (2016),127137
2,8772,,"Spy Who Came in from the Cold, The (1965)",127137
3,66240,,Dead Like Me: Life After Death (2009),127137
4,8445,,Demon Island (2002),127137
5,5021,,Murder by Death (1976),127137
6,117338,,Red Mist (2008),127137
7,80094,,"Last Exorcism, The (2010)",127137
8,158675,,Getting That Girl (2011),127137
0,95167,,Brave (2012),142748
1,71535,,Zombieland (2009),142748
2,79702,,Scott Pilgrim vs. the World (2010),142748
3,3144,,"Glass Bottom Boat, The (1966)",142748
4,119145,,Kingsman: The Secret Service (2015),142748
5,115713,5.0,Ex Machina (2015),142748
6,94864,1.5,Prometheus (2012),142748
7,106920,,Her (2013),142748
8,93840,,"Cabin in the Woods, The (2012)",142748
9,6281,,Phone Booth (2002),142748
0,69278,,Land of the Lost (2009),196198
1,144734,,Freaks of Nature (2015),196198
2,69458,,Tyson (2008),196198
3,79043,,Inside the Twin Towers (2006),196198
4,126397,,The Encounter (2010),196198
5,45361,,"American Haunting, An (2005)",196198
6,107987,,Diana (2013),196198
7,60475,,"Violin, El (2005)",196198
8,84621,,Mirrors 2 (2010),196198
9,133243,,Call + Response (2008),196198
0,33098,,Ike: Countdown to D-Day (2004),142586
1,116485,,The Skinny (2012),142586
2,49284,,10 Items or Less (2006),142586
3,137054,,Daniels Daughter (2008),142586
4,122043,,The Haunting Hour: Don't Think About It (2007),142586
5,142925,,A Christmas Horror Story (2015),142586
6,120857,,Bloodsuckers (2005),142586
7,164515,,Redistributors (2016),142586
8,84738,,Slaughter (2009),142586
9,69521,,Heavy Metal in Baghdad (2007),142586
0,56174,5.0,I Am Legend (2007),139240
1,122920,5.0,Captain America: Civil War (2016),139240
2,103042,,Man of Steel (2013),139240
3,86332,4.0,Thor (2011),139240
4,8961,4.5,"Incredibles, The (2004)",139240
5,45722,5.0,Pirates of the Caribbean: Dead Man's Chest (2006),139240
6,5618,3.5,Spirited Away (Sen to Chihiro no kamikakushi) (2001),139240
7,5388,,Insomnia (2002),139240
8,97921,,Silver Linings Playbook (2012),139240
0,3328,,Ghost Dog: The Way of the Samurai (1999),199431
1,3103,,Stanley & Iris (1990),199431
2,8772,,"Spy Who Came in from the Cold, The (1965)",199431
3,2328,,Vampires (1998),199431
4,122,,Boomerang (1992),199431
0,111844,,Bad Asses (Bad Ass 2) (2014),109507
1,69278,,Land of the Lost (2009),109507
2,106599,,Breakout (2013),109507
3,49284,,10 Items or Less (2006),109507
4,159622,,8213: Gacy House (2010),109507
5,104361,,Ain't Them Bodies Saints (2013),109507
6,70410,,"Killing Room, The (2009)",109507
7,100452,,"Devil's Tomb, The (2009)",109507
0,80740,,Luke and Lucy: The Texas Rangers (Suske en Wiske: De Texas rakkers) (2009),146213
1,595,,Beauty and the Beast (1991),146213
2,136349,,Scooby-Doo! Pirates Ahoy! (2006),146213
3,121596,,Born to Fight (2011),146213
4,143666,,The Adventures of Mickey Matson and the Copperhead Conspiracy (2012),146213
5,33154,,Enron: The Smartest Guys in the Room (2005),146213
6,46103,,"Heart of the Game, The (2006)",146213
7,107057,,Dead Set (2008),146213
8,139433,,Back from Hell (2012),146213
9,1544,,"Lost World: Jurassic Park, The (1997)",146213
0,6294,,Bulletproof Monk (2003),144919
1,45074,,"Wild, The (2006)",144919
2,106487,,The Hunger Games: Catching Fire (2013),144919
3,86478,,Rabbit Without Ears 2 (Zweiohrküken) (2009),144919
4,79702,,Scott Pilgrim vs. the World (2010),144919
5,67799,,The Butterfly Effect 3: Revelations (2009),144919
6,34148,,"Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)",144919
7,84525,,Virus X (2010),144919
8,76189,,Growth (2009),144919
9,93840,,"Cabin in the Woods, The (2012)",144919
0,112404,,Jack Strong (2014),114328
1,117158,,"Nono, the Zigzag Kid (2012)",114328
2,42018,,Mrs. Henderson Presents (2005),114328
3,107730,,By the People: The Election of Barack Obama (2009),114328
4,134579,,After Lucia (2012),114328
5,7167,,Japanese Story (2003),114328
6,84601,,Unknown (2011),114328
7,149796,,Eungyo (2012),114328
8,62304,,"Tulse Luper Suitcases, Part 1: The Moab Story, The (2003)",114328
9,8697,,"City of No Limits, The (la ciudad sin límites, En) (2002)",114328
0,45074,,"Wild, The (2006)",143184
1,132632,,The Pirate Fairy (2014),143184
2,167252,,A Grand Night In: The Story of Aardman (2015),143184
3,107079,,"Fairly Odd Christmas, A (2012)",143184
4,136902,,Strange Powers: Stephin Merritt and the Magnetic Fields (2011),143184
5,95967,,Marriage Retreat (2011),143184
6,104361,,Ain't Them Bodies Saints (2013),143184
7,87322,,Falling (a.k.a. Fallen) (2006),143184
8,74115,,Dante's Inferno Animated (2010),143184
9,84525,,Virus X (2010),143184
0,72171,,Black Dynamite (2009),206003
1,88235,,"Guard, The (2011)",206003
2,165287,,The Swap (2016),206003
3,27626,,Entre Amigos (Planta 4ª) (2003),206003
4,54378,,Man's Job (Miehen työ) (2007),206003
5,117488,,A Promise (2013),206003
6,80094,,"Last Exorcism, The (2010)",206003
0,8370,,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",206313
1,72171,,Black Dynamite (2009),206313
2,45074,,"Wild, The (2006)",206313
3,61248,,Death Race (2008),206313
4,51847,,Right at Your Door (2006),206313
5,104361,,Ain't Them Bodies Saints (2013),206313
6,51187,,Kidulthood (2006),206313
7,108014,,River Queen (2005),206313
8,80094,,"Last Exorcism, The (2010)",206313
9,152465,,Vipers (2008),206313
0,87222,,Kung Fu Panda 2 (2011),101526
1,6586,,American Wedding (American Pie 3) (2003),101526
2,133419,,Pitch Perfect 2 (2015),101526
3,157296,,Finding Dory (2016),101526
4,27754,,Foolproof (2003),101526
5,27904,,"Scanner Darkly, A (2006)",101526
6,68892,,Rhinoceros (1974),101526
7,99007,,Warm Bodies (2013),101526
8,2672,,"Thirteenth Floor, The (1999)",101526
9,66579,,"Lost, The (2009)",101526
0,45074,,"Wild, The (2006)",199727
1,106924,,Zatoichi the Fugitive (Zatôichi kyôjô-tabi) (Zatôichi 4) (1963),199727
2,39818,,"Swindle, The (Bidone, Il) (1955)",199727
3,67799,,The Butterfly Effect 3: Revelations (2009),199727
4,104361,,Ain't Them Bodies Saints (2013),199727
5,34464,,Christmas in August (Palwolui Christmas) (1998),199727
6,1840,,He Got Game (1998),199727
7,84525,,Virus X (2010),199727
8,1609,,187 (One Eight Seven) (1997),199727
9,5343,,"Temp, The (1993)",199727
0,69278,,Land of the Lost (2009),147520
1,162578,,Kubo and the Two Strings (2016),147520
2,79702,,Scott Pilgrim vs. the World (2010),147520
3,157330,,Black & White: The Dawn of Assault (2012),147520
4,109452,,Omar (2013),147520
5,142448,,Everest (2015),147520
6,58879,,Shine a Light (2008),147520
7,84954,,"Adjustment Bureau, The (2011)",147520
8,84525,,Virus X (2010),147520
9,93840,,"Cabin in the Woods, The (2012)",147520
0,1248,,Touch of Evil (1958),112406
1,6881,,Pieces of April (2003),112406
